ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,MG,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,15,357,31
2025,MG,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,1
2025,MG,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,4,16,11
2025,MG,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,14,261,24
2025,MG,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,41,372,67
2025,MG,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,3,469,7
2025,MG,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,39,19
2025,MG,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,1,1,8
2025,MG,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,20,89,61
2025,MG,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,1
2025,MG,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,3,6,23
2025,MG,5231101,Administração da infraestrutura portuária,Portos e navegação,1,1,2
2025,MG,5231102,Atividades do operador portuário,Portos e navegação,1,34,6
2025,MG,5232000,Atividades de agenciamento marítimo,Portos e navegação,5,15,21
2025,MG,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,2,3,4
2025,MG,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,1,1,5
2025,MG,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,125,397,394
2025,MG,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,85,480,699
2025,MS,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,3
2025,MS,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,1,1,2
2025,MS,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,MS,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,4,364,8
2025,MS,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,5,616,8
2025,MS,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,3
2025,MS,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,0,0,1
2025,MS,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,2,2
2025,MS,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,2,135,6
2025,MS,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,2,6,8
2025,MS,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,3
2025,MS,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,17,122,23
2025,MS,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,3
2025,MS,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,9,79,13
2025,MS,5231101,Administração da infraestrutura portuária,Portos e navegação,1,4,2
2025,MS,5231102,Atividades do operador portuário,Portos e navegação,5,31,8
2025,MS,5232000,Atividades de agenciamento marítimo,Portos e navegação,4,22,7
2025,MS,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,2,6,2
2025,MS,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,3
2025,MS,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,23,75,59
2025,MS,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,25,80,112
2025,MT,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,2
2025,MT,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2025,MT,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,1,3,1
2025,MT,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,MT,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,MT,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,10,360,22
2025,MT,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,3,6,4
2025,MT,3011301,Construção de embarcações de grande porte,Indústria naval,1,5,1
2025,MT,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,5,17,11
2025,MT,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,5,24,11
2025,MT,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,0,0,1
2025,MT,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,8,2
2025,MT,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,2,3,5
2025,MT,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,1
2025,MT,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,17,129,44
2025,MT,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,1
2025,MT,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,4,18,9
2025,MT,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,1
